Fecha de retiro, Nro. de voucher, Nro. de dominio, Nro. de registro origen, Descripcion de registro origen, Nro. de registro destino, Descripcion de registro destino
2009-11-02 00:00:00.000,01559774,SSX593  ,01003,ARRECIFES,01264,ADROGUE NRO. 5
2009-11-02 00:00:00.000,01559773,SKO233  ,01003,ARRECIFES,01203,MALVINAS ARGENTINAS NRO. 1
2009-11-04 00:00:00.000,01559765,WAP946  ,01003,ARRECIFES,01213,CARMEN DE ARECO
2009-11-04 00:00:00.000,01559770,EXT672  ,01003,ARRECIFES,18001,SAN JUAN NRO. 1
2009-11-04 00:00:00.000,01559763,B1841333,01003,ARRECIFES,05010,MONTE CASEROS A
2009-11-04 00:00:00.000,01559762,FGW560  ,01003,ARRECIFES,01155,PERGAMINO NRO. 2
2009-11-04 00:00:00.000,01559769,EFI076  ,01003,ARRECIFES,01262,PERGAMINO NRO. 3
2009-11-05 00:00:00.000,01559787,IBF755  ,01003,ARRECIFES,01174,LA MATANZA NRO. 07
2009-11-05 00:00:00.000,01559782,EHS765  ,01003,ARRECIFES,02091,CAPITAL FEDERAL NRO. 91
2009-11-05 00:00:00.000,01559794,RVW172  ,01003,ARRECIFES,01093,SAN PEDRO
2009-11-05 00:00:00.000,01559785,XHF079  ,01003,ARRECIFES,01171,ESCOBAR NRO. 1
2009-11-10 00:00:00.000,01559793,RKE790  ,01003,ARRECIFES,21046,VENADO TUERTO NRO. 2
2009-11-10 00:00:00.000,01559789,EMX558  ,01003,ARRECIFES,01155,PERGAMINO NRO. 2
2009-11-10 00:00:00.000,01559792,WRH996  ,01003,ARRECIFES,01187,JUNIN NRO. 2
2009-11-10 00:00:00.000,01559783,RKY469  ,01003,ARRECIFES,01164,MAR DEL PLATA NRO. 06
2009-11-10 00:00:00.000,01559791,DMS590  ,01003,ARRECIFES,01213,CARMEN DE ARECO
2009-11-10 00:00:00.000,01559788,DBN182  ,01003,ARRECIFES,01181,TRES DE FEBRERO NRO. 4
2009-11-10 00:00:00.000,01559786,UFM930  ,01003,ARRECIFES,01083,SALTO
2009-11-10 00:00:00.000,01559795,VJD722  ,01003,ARRECIFES,01080,ROJAS
2009-11-10 00:00:00.000,01559784,GKZ212  ,01003,ARRECIFES,21060,VENADO TUERTO NRO. 3
2009-11-10 00:00:00.000,01559781,AFM746  ,01003,ARRECIFES,01217,RAMALLO
2009-11-12 00:00:00.000,01281056,VIX432  ,01003,ARRECIFES,02005,CAPITAL FEDERAL NRO. 05
2009-11-12 00:00:00.000,01559800,WNV894  ,01003,ARRECIFES,02008,CAPITAL FEDERAL NRO. 08
2009-11-16 00:00:00.000,01281053,WJQ323  ,01003,ARRECIFES,01155,PERGAMINO NRO. 2
2009-11-16 00:00:00.000,01281052,BMK448  ,01003,ARRECIFES,01093,SAN PEDRO
2009-11-16 00:00:00.000,01281055,XLX334  ,01003,ARRECIFES,01072,PERGAMINO NRO. 1
2009-11-16 00:00:00.000,01559797,GAN564  ,01003,ARRECIFES,21067,RECONQUISTA NRO. 2
2009-11-16 00:00:00.000,01281054,TCN352  ,01003,ARRECIFES,01129,CAPITAN SARMIENTO
2009-11-16 00:00:00.000,01559799,FZG067  ,01003,ARRECIFES,01129,CAPITAN SARMIENTO
2009-11-16 00:00:00.000,01281051,BES820  ,01003,ARRECIFES,01083,SALTO
2009-11-16 00:00:00.000,01559798,EZI811  ,01003,ARRECIFES,01182,SAN NICOLAS NRO. 2
2009-11-16 00:00:00.000,01559796,XLX332  ,01003,ARRECIFES,01182,SAN NICOLAS NRO. 2
2009-11-17 00:00:00.000,01281057,DBN182  ,01003,ARRECIFES,01181,TRES DE FEBRERO NRO. 4
2009-11-30 00:00:00.000,01281074,TGN623  ,01003,ARRECIFES,01165,SAN FERNANDO NRO. 2
2009-11-30 00:00:00.000,01281061,FEJ959  ,01003,ARRECIFES,02027,CAPITAL FEDERAL NRO. 27
2009-11-30 00:00:00.000,01281070,VIS214  ,01003,ARRECIFES,02030,CAPITAL FEDERAL NRO. 30
2009-11-30 00:00:00.000,01281072,TKS230  ,01003,ARRECIFES,02030,CAPITAL FEDERAL NRO. 30
2009-11-02 00:00:00.000,01015249,BXM039  ,01005,AVELLANEDA NRO. 2,01233,LANUS NRO. 7
2009-11-02 00:00:00.000,01015248,AOS020  ,01005,AVELLANEDA NRO. 2,02060,CAPITAL FEDERAL NRO. 60
2009-11-02 00:00:00.000,01565121,TKP641  ,01005,AVELLANEDA NRO. 2,01047,LANUS NRO. 1
2009-11-02 00:00:00.000,01565119,TKP582  ,01005,AVELLANEDA NRO. 2,01047,LANUS NRO. 1
2009-11-02 00:00:00.000,01565110,FYB780  ,01005,AVELLANEDA NRO. 2,02092,CAPITAL FEDERAL NRO. 92
2009-11-02 00:00:00.000,01565111,CXE532  ,01005,AVELLANEDA NRO. 2,01199,LANUS NRO. 6
2009-11-02 00:00:00.000,01565108,BNQ013  ,01005,AVELLANEDA NRO. 2,01134,LANUS NRO. 3
2009-11-02 00:00:00.000,01565116,RZT679  ,01005,AVELLANEDA NRO. 2,01115,MORON NRO. 01
2009-11-02 00:00:00.000,01565115,CHW568  ,01005,AVELLANEDA NRO. 2,01168,MORON NRO. 06
2009-11-02 00:00:00.000,01565107,UVS437  ,01005,AVELLANEDA NRO. 2,02074,CAPITAL FEDERAL NRO. 74
2009-11-02 00:00:00.000,01565120,XLB397  ,01005,AVELLANEDA NRO. 2,01260,FLORENCIO VARELA NRO. 3
2009-11-02 00:00:00.000,01565113,GXT390  ,01005,AVELLANEDA NRO. 2,01175,LANUS NRO. 5
2009-11-02 00:00:00.000,01565122,CXK469  ,01005,AVELLANEDA NRO. 2,01227,LA MATANZA NRO. 10
2009-11-02 00:00:00.000,01565118,ADO893  ,01005,AVELLANEDA NRO. 2,02064,CAPITAL FEDERAL NRO. 64
2009-11-02 00:00:00.000,01565109,UXL697  ,01005,AVELLANEDA NRO. 2,02048,CAPITAL FEDERAL NRO. 48
2009-11-02 00:00:00.000,01565101,EHY424  ,01005,AVELLANEDA NRO. 2,02005,CAPITAL FEDERAL NRO. 05
2009-11-02 00:00:00.000,01565117,SJC197  ,01005,AVELLANEDA NRO. 2,01189,FLORENCIO VARELA NRO. 2
2009-11-02 00:00:00.000,01565106,SJU677  ,01005,AVELLANEDA NRO. 2,01113,SAN VICENTE
2009-11-02 00:00:00.000,01565114,CFA991  ,01005,AVELLANEDA NRO. 2,02038,CAPITAL FEDERAL NRO. 38
2009-11-02 00:00:00.000,01565123,DTM658  ,01005,AVELLANEDA NRO. 2,01179,SAN MARTIN NRO. 5
2009-11-02 00:00:00.000,01565112,AGQ084  ,01005,AVELLANEDA NRO. 2,01197,SAN ISIDRO NRO. 06
2009-11-03 00:00:00.000,01015250,CDN874  ,01005,AVELLANEDA NRO. 2,01050,LINCOLN
2009-11-04 00:00:00.000,01565006,FNE143  ,01005,AVELLANEDA NRO. 2,01074,PILAR NRO. 1
2009-11-04 00:00:00.000,01015244,BDG361  ,01005,AVELLANEDA NRO. 2,02008,CAPITAL FEDERAL NRO. 08
2009-11-04 00:00:00.000,01565009,AXV760  ,01005,AVELLANEDA NRO. 2,01264,ADROGUE NRO. 5
2009-11-05 00:00:00.000,01565001,USP997  ,01005,AVELLANEDA NRO. 2,02024,CAPITAL FEDERAL NRO. 24
2009-11-05 00:00:00.000,01565102,EJB284  ,01005,AVELLANEDA NRO. 2,01218,MORON NRO. 09
2009-11-05 00:00:00.000,01015246,WRR035  ,01005,AVELLANEDA NRO. 2,01233,LANUS NRO. 7
2009-11-05 00:00:00.000,01565012,EMZ934  ,01005,AVELLANEDA NRO. 2,01250,MORON NRO. 11
2009-11-05 00:00:00.000,01565013,XIT820  ,01005,AVELLANEDA NRO. 2,01183,OLIVOS NRO. 06
2009-11-05 00:00:00.000,01570714,HAW532  ,01005,AVELLANEDA NRO. 2,01269,LA MATANZA NRO. 12
2009-11-05 00:00:00.000,01565007,WUX090  ,01005,AVELLANEDA NRO. 2,01260,FLORENCIO VARELA NRO. 3
2009-11-05 00:00:00.000,01565104,TKP619  ,01005,AVELLANEDA NRO. 2,01209,BERAZATEGUI NRO. 3
2009-11-05 00:00:00.000,01565010,FCK595  ,01005,AVELLANEDA NRO. 2,02062,CAPITAL FEDERAL NRO. 62
2009-11-05 00:00:00.000,01015247,AJV955  ,01005,AVELLANEDA NRO. 2,01077,QUILMES NRO. 1
2009-11-05 00:00:00.000,01565103,RVF558  ,01005,AVELLANEDA NRO. 2,01077,QUILMES NRO. 1
2009-11-05 00:00:00.000,01565105,TKP642  ,01005,AVELLANEDA NRO. 2,01147,LOMAS DE ZAMORA NRO. 3
2009-11-09 00:00:00.000,01565145,AYF106  ,01005,AVELLANEDA NRO. 2,01257,MORENO NRO. 3
2009-11-09 00:00:00.000,01565124,XGN394  ,01005,AVELLANEDA NRO. 2,01077,QUILMES NRO. 1
2009-11-09 00:00:00.000,01565130,DDZ075  ,01005,AVELLANEDA NRO. 2,01211,QUILMES NRO. 6
2009-11-09 00:00:00.000,01565128,AXN232  ,01005,AVELLANEDA NRO. 2,01145,QUILMES NRO. 4
2009-11-09 00:00:00.000,01565127,GWM709  ,01005,AVELLANEDA NRO. 2,01211,QUILMES NRO. 6
2009-11-09 00:00:00.000,01565004,DKN470  ,01005,AVELLANEDA NRO. 2,01274,San Clemente del Tuyu
2009-11-09 00:00:00.000,01565002,APM854  ,01005,AVELLANEDA NRO. 2,01013,BRAGADO
2009-11-09 00:00:00.000,01565141,UFB110  ,01005,AVELLANEDA NRO. 2,01135,LANUS NRO. 4
2009-11-09 00:00:00.000,01565137,FYB761  ,01005,AVELLANEDA NRO. 2,02009,CAPITAL FEDERAL NRO. 09
2009-11-09 00:00:00.000,01565146,CNY886  ,01005,AVELLANEDA NRO. 2,01216,QUILMES NRO. 7
2009-11-09 00:00:00.000,01565143,WHP675  ,01005,AVELLANEDA NRO. 2,02044,CAPITAL FEDERAL NRO. 44
2009-11-09 00:00:00.000,01565144,VHH326  ,01005,AVELLANEDA NRO. 2,01211,QUILMES NRO. 6
2009-11-09 00:00:00.000,01565135,DZF124  ,01005,AVELLANEDA NRO. 2,01227,LA MATANZA NRO. 10
2009-11-09 00:00:00.000,01565138,FDS952  ,01005,AVELLANEDA NRO. 2,02085,CAPITAL FEDERAL NRO. 85
2009-11-09 00:00:00.000,01565133,VQI652  ,01005,AVELLANEDA NRO. 2,01118,QUILMES NRO. 2
2009-11-09 00:00:00.000,01565131,VKG015  ,01005,AVELLANEDA NRO. 2,01135,LANUS NRO. 4
2009-11-09 00:00:00.000,01565136,CZU430  ,01005,AVELLANEDA NRO. 2,01173,BERAZATEGUI NRO. 2
2009-11-09 00:00:00.000,01565139,ERG019  ,01005,AVELLANEDA NRO. 2,01148,LOMAS DE ZAMORA NRO. 4
2009-11-09 00:00:00.000,01565134,GKV968  ,01005,AVELLANEDA NRO. 2,01104,BERAZATEGUI NRO. 1
2009-11-09 00:00:00.000,01565132,SZA823  ,01005,AVELLANEDA NRO. 2,01062,MERLO NRO. 1
2009-11-09 00:00:00.000,01565125,DJW713  ,01005,AVELLANEDA NRO. 2,01239,QUILMES NRO. 8
2009-11-09 00:00:00.000,01565003,SXR091  ,01005,AVELLANEDA NRO. 2,01028,DOLORES
2009-11-09 00:00:00.000,01403656,FOA114  ,01005,AVELLANEDA NRO. 2,01044,LA PLATA NRO. 02
2009-11-09 00:00:00.000,01565008,EHY425  ,01005,AVELLANEDA NRO. 2,14010,POSADAS NRO. 3
2009-11-09 00:00:00.000,01565140,CKC908  ,01005,AVELLANEDA NRO. 2,01078,LA MATANZA N§ 01
2009-11-09 00:00:00.000,01565142,GJA385  ,01005,AVELLANEDA NRO. 2,02087,CAPITAL FEDERAL NRO. 87
2009-11-11 00:00:00.000,01565150,FYB743  ,01005,AVELLANEDA NRO. 2,01118,QUILMES NRO. 2
2009-11-11 00:00:00.000,01565147,DNX761  ,01005,AVELLANEDA NRO. 2,01134,LANUS NRO. 3
2009-11-11 00:00:00.000,01403658,HRD647  ,01005,AVELLANEDA NRO. 2,02090,CAPITAL FEDERAL NRO. 90
