Fecha de retiro, Nro. de voucher, Nro. de dominio, Nro. de registro origen, Descripcion de registro origen, Nro. de registro destino, Descripcion de registro destino
2014-12-01 00:00:00.000,03835728,KGY458  ,01003,ARRECIFES,01250,MORON NRO. 11
2014-12-01 00:00:00.000,03835731,FRU500  ,01003,ARRECIFES,01047,LANUS NRO. 1
2014-12-01 00:00:00.000,03835730,FUP517  ,01003,ARRECIFES,01183,OLIVOS NRO. 06
2014-12-01 00:00:00.000,03835722,JVI896  ,01003,ARRECIFES,01154,LA MATANZA NRO. 06
2014-12-01 00:00:00.000,03899196,DBN181  ,01003,ARRECIFES,01064,MORENO NRO. 1
2014-12-01 00:00:00.000,03835732,GDP965  ,01003,ARRECIFES,01171,ESCOBAR NRO. 1
2014-12-01 00:00:00.000,03835737,LVO698  ,01003,ARRECIFES,01223,EZEIZA
2014-12-01 00:00:00.000,03835734,SGG131  ,01003,ARRECIFES,01257,MORENO NRO. 3
2014-12-02 00:00:00.000,04335865,UAP515  ,01003,ARRECIFES,01083,SALTO
2014-12-02 00:00:00.000,04335866,TQE201  ,01003,ARRECIFES,01217,RAMALLO
2014-12-02 00:00:00.000,04335873,LUG240  ,01003,ARRECIFES,01279,SAN PEDRO
2014-12-02 00:00:00.000,04335853,DJU888  ,01003,ARRECIFES,21060,VENADO TUERTO NRO. 3
2014-12-02 00:00:00.000,04335854,HWU665  ,01003,ARRECIFES,21073,VILLA GOBERNADOR GALVEZ
2014-12-02 00:00:00.000,04335871,LBQ501  ,01003,ARRECIFES,21043,ROSARIO NRO. 08
2014-12-02 00:00:00.000,04335868,LNS719  ,01003,ARRECIFES,01083,SALTO
2014-12-02 00:00:00.000,04335859,EJQ474  ,01003,ARRECIFES,01217,RAMALLO
2014-12-02 00:00:00.000,04335861,JEP597  ,01003,ARRECIFES,01217,RAMALLO
2014-12-02 00:00:00.000,04335855,FYJ522  ,01003,ARRECIFES,01092,SAN NICOLAS NRO. 1
2014-12-02 00:00:00.000,04335857,CUC673  ,01003,ARRECIFES,01193,LUJAN NRO. 2
2014-12-02 00:00:00.000,04335863,CMQ526  ,01003,ARRECIFES,01025,CHASCOMUS
2014-12-02 00:00:00.000,04335864,GPW867  ,01003,ARRECIFES,01092,SAN NICOLAS NRO. 1
2014-12-02 00:00:00.000,04335870,EMV198  ,01003,ARRECIFES,01262,PERGAMINO NRO. 3
2014-12-02 00:00:00.000,04335851,OBU299  ,01003,ARRECIFES,01042,JUNIN NRO. 1
2014-12-02 00:00:00.000,04335862,LBQ504  ,01003,ARRECIFES,01262,PERGAMINO NRO. 3
2014-12-02 00:00:00.000,04335875,TDP023  ,01003,ARRECIFES,21029,VILLA CONSTITUCION NRO. 1
2014-12-02 00:00:00.000,04335860,FYS055  ,01003,ARRECIFES,21054,ARROYO SECO NRO. 2
2014-12-03 00:00:00.000,04335858,DKS827  ,01003,ARRECIFES,01114,CANUELAS
2014-12-03 00:00:00.000,04335856,JGV322  ,01003,ARRECIFES,01190,ZARATE NRO. 2
2014-12-03 00:00:00.000,04335869,GET930  ,01003,ARRECIFES,01129,CAPITAN SARMIENTO
2014-12-03 00:00:00.000,04335874,KGY436  ,01003,ARRECIFES,01129,CAPITAN SARMIENTO
2014-12-03 00:00:00.000,04335852,JZH360  ,01003,ARRECIFES,02029,CAPITAL FEDERAL NRO. 29
2014-12-03 00:00:00.000,04335867,SYQ458  ,01003,ARRECIFES,01133,SAN MIGUEL Nro. 3
2014-12-03 00:00:00.000,04335872,LMV774  ,01003,ARRECIFES,02011,CAPITAL FEDERAL NRO. 11
2014-12-04 00:00:00.000,03835739,TLH213  ,01003,ARRECIFES,01293,PILAR  4
2014-12-11 00:00:00.000,04335880,CMX496  ,01003,ARRECIFES,01129,CAPITAN SARMIENTO
2014-12-11 00:00:00.000,04335881,DNF425  ,01003,ARRECIFES,01129,CAPITAN SARMIENTO
2014-12-11 00:00:00.000,04335882,BCO904  ,01003,ARRECIFES,01110,SAN ANDRES DE GILES
2014-12-11 00:00:00.000,04335877,EKC466  ,01003,ARRECIFES,04016,JESUS MARIA NRO. 1
2014-12-11 00:00:00.000,04335892,CUF397  ,01003,ARRECIFES,01262,PERGAMINO NRO. 3
2014-12-11 00:00:00.000,04335891,CHK552  ,01003,ARRECIFES,01262,PERGAMINO NRO. 3
2014-12-11 00:00:00.000,04335887,JPL952  ,01003,ARRECIFES,01042,JUNIN NRO. 1
2014-12-11 00:00:00.000,04335893,IUD573  ,01003,ARRECIFES,14003,OBERA NRO. 1
2014-12-11 00:00:00.000,04335884,AKD969  ,01003,ARRECIFES,01083,SALTO
2014-12-11 00:00:00.000,04335883,HRD780  ,01003,ARRECIFES,01083,SALTO
2014-12-11 00:00:00.000,04335888,SLE931  ,01003,ARRECIFES,01084,SAN ANTONIO DE ARECO
2014-12-11 00:00:00.000,04335879,IOU575  ,01003,ARRECIFES,01072,PERGAMINO NRO. 1
2014-12-11 00:00:00.000,04335885,DZI694  ,01003,ARRECIFES,21001,ALCORTA
2014-12-11 00:00:00.000,04335890,GUZ584  ,01003,ARRECIFES,01092,SAN NICOLAS NRO. 1
2014-12-17 00:00:00.000,04335889,WRC024  ,01003,ARRECIFES,02088,CAPITAL FEDERAL Nº 88
2014-12-18 00:00:00.000,04335878,XAJ485  ,01003,ARRECIFES,01230,ESCOBAR NRO. 2
2014-12-18 00:00:00.000,04335876,EQP598  ,01003,ARRECIFES,01157,MORON NRO. 05
2014-12-18 00:00:00.000,04335886,LMV782  ,01003,ARRECIFES,01234,ADROGUE NRO. 4
2014-12-18 00:00:00.000,04335327,GSM815  ,01003,ARRECIFES,21065,VILLA CONSTITUCION NRO. 2
2014-12-18 00:00:00.000,04335324,LEB141  ,01003,ARRECIFES,01083,SALTO
2014-12-18 00:00:00.000,04335316,ECO904  ,01003,ARRECIFES,21043,ROSARIO NRO. 08
2014-12-18 00:00:00.000,04335318,DPA677  ,01003,ARRECIFES,01083,SALTO
2014-12-18 00:00:00.000,04335334,EHW835  ,01003,ARRECIFES,01268,TANDIL NRO. 3
2014-12-18 00:00:00.000,04335330,HEQ809  ,01003,ARRECIFES,01013,BRAGADO
2014-12-18 00:00:00.000,04335333,NJR753  ,01003,ARRECIFES,01083,SALTO
2014-12-18 00:00:00.000,04335323,RSV109  ,01003,ARRECIFES,01083,SALTO
2014-12-18 00:00:00.000,04335322,MJU342  ,01003,ARRECIFES,01155,PERGAMINO NRO. 2
2014-12-18 00:00:00.000,04335335,XFG709  ,01003,ARRECIFES,01121,MAR DEL PLATA NRO. 03
2014-12-18 00:00:00.000,04335314,NLQ434  ,01003,ARRECIFES,15004,NEUQUEN NRO. 2
2014-12-18 00:00:00.000,04335329,KBQ094  ,01003,ARRECIFES,01193,LUJAN NRO. 2
2014-12-18 00:00:00.000,04335332,AWV591  ,01003,ARRECIFES,01291,CAMPANA  3
2014-12-18 00:00:00.000,04335320,GXF111  ,01003,ARRECIFES,01106,LA MATANZA NRO. 02
2014-12-18 00:00:00.000,04335321,UFF963  ,01003,ARRECIFES,01131,CAPILLA DEL SENOR
2014-12-18 00:00:00.000,04335315,HDI645  ,01003,ARRECIFES,01129,CAPITAN SARMIENTO
2014-12-18 00:00:00.000,04335319,TUA587  ,01003,ARRECIFES,01011,BARADERO
2014-12-22 00:00:00.000,04335317,FBC276  ,01003,ARRECIFES,01128,SAN MIGUEL NRO. 2
2014-12-22 00:00:00.000,04335325,LBQ529  ,01003,ARRECIFES,01146,MERLO NRO. 2
2014-12-22 00:00:00.000,04335331,BVB846  ,01003,ARRECIFES,01197,SAN ISIDRO NRO. 06
2014-12-22 00:00:00.000,04335326,JJW441  ,01003,ARRECIFES,02054,CAPITAL FEDERAL NRO. 54
2014-12-29 00:00:00.000,04335328,HHO954  ,01003,ARRECIFES,01266,MALVINAS ARGENTINAS NRO. 3
2014-12-02 00:00:00.000,03740059,JWZ524  ,01004,AVELLANEDA NRO. 1,08002,COLON
2014-12-04 00:00:00.000,03740060,OKQ676  ,01004,AVELLANEDA NRO. 1,06004,MACHAGAI
2014-12-05 00:00:00.000,03740061,CCE312  ,01004,AVELLANEDA NRO. 1,14012,SAN VICENTE "A"
2014-12-09 00:00:00.000,03740063,DKK249  ,01004,AVELLANEDA NRO. 1,19004,TILISARAO " A "
2014-12-10 00:00:00.000,03740062,SIN170  ,01004,AVELLANEDA NRO. 1,04047,VILLA CARLOS PAZ NRO. 1
2014-12-18 00:00:00.000,04313967,TYQ518  ,01004,AVELLANEDA NRO. 1,02020,CAPITAL FEDERAL NRO. 20
2014-12-18 00:00:00.000,03740064,DNT088  ,01004,AVELLANEDA NRO. 1,23010,TUCUMAN NRO. 8
2014-12-18 00:00:00.000,03740065,JHH632  ,01004,AVELLANEDA NRO. 1,15002,SAN MARTIN DE LOS ANDES
2014-12-22 00:00:00.000,03740066,BVZ760  ,01004,AVELLANEDA NRO. 1,01166,PARTIDO URBANO DE LA COSTA
2014-12-22 00:00:00.000,03740067,LLX088  ,01004,AVELLANEDA NRO. 1,19003,SAN LUIS NRO. 1
2014-12-22 00:00:00.000,03740068,VQC419  ,01004,AVELLANEDA NRO. 1,09001,CLORINDA
2014-12-01 00:00:00.000,03968110,FSL232  ,01005,AVELLANEDA NRO. 2,02008,CAPITAL FEDERAL NRO. 08
2014-12-01 00:00:00.000,04103380,UFX795  ,01005,AVELLANEDA NRO. 2,02035,CAPITAL FEDERAL NRO. 35
2014-12-01 00:00:00.000,04103368,DNH914  ,01005,AVELLANEDA NRO. 2,01134,LANUS NRO. 3
2014-12-01 00:00:00.000,04103391,AGD944  ,01005,AVELLANEDA NRO. 2,01189,FLORENCIO VARELA NRO. 2
2014-12-01 00:00:00.000,03968109,VBO908  ,01005,AVELLANEDA NRO. 2,01237,LOMAS DE ZAMORA NRO. 7
2014-12-01 00:00:00.000,03968120,KFZ963  ,01005,AVELLANEDA NRO. 2,02014,CAPITAL FEDERAL NRO. 14
2014-12-01 00:00:00.000,03968119,LOG323  ,01005,AVELLANEDA NRO. 2,01239,QUILMES NRO. 8
2014-12-01 00:00:00.000,04103362,ACE260  ,01005,AVELLANEDA NRO. 2,01251,LANUS NRO. 8
2014-12-01 00:00:00.000,03968111,MWR630  ,01005,AVELLANEDA NRO. 2,01209,BERAZATEGUI NRO. 3
2014-12-01 00:00:00.000,04103366,CUN927  ,01005,AVELLANEDA NRO. 2,01077,QUILMES NRO. 1
2014-12-01 00:00:00.000,03968105,GQX782  ,01005,AVELLANEDA NRO. 2,02097,CAPITAL FEDERAL NRO. 97
2014-12-02 00:00:00.000,03968134,GCN268  ,01005,AVELLANEDA NRO. 2,01264,ADROGUE NRO. 5
2014-12-02 00:00:00.000,03968131,GDD728  ,01005,AVELLANEDA NRO. 2,01189,FLORENCIO VARELA NRO. 2
2014-12-02 00:00:00.000,03968132,RYO180  ,01005,AVELLANEDA NRO. 2,01189,FLORENCIO VARELA NRO. 2
2014-12-02 00:00:00.000,03968133,AFW080  ,01005,AVELLANEDA NRO. 2,01189,FLORENCIO VARELA NRO. 2
2014-12-02 00:00:00.000,04103372,JMA206  ,01005,AVELLANEDA NRO. 2,01077,QUILMES NRO. 1
2014-12-02 00:00:00.000,04103396,VDN412  ,01005,AVELLANEDA NRO. 2,01257,MORENO NRO. 3
2014-12-02 00:00:00.000,04103398,FXE288  ,01005,AVELLANEDA NRO. 2,01107,LANUS NRO. 2
2014-12-02 00:00:00.000,03968141,GNF191  ,01005,AVELLANEDA NRO. 2,01025,CHASCOMUS
2014-12-02 00:00:00.000,03968124,FWN931  ,01005,AVELLANEDA NRO. 2,01233,LANUS NRO. 7
2014-12-02 00:00:00.000,03968107,MCJ136  ,01005,AVELLANEDA NRO. 2,01118,QUILMES NRO. 2
2014-12-02 00:00:00.000,03968115,BLV985  ,01005,AVELLANEDA NRO. 2,01118,QUILMES NRO. 2
2014-12-02 00:00:00.000,04103397,IUV234  ,01005,AVELLANEDA NRO. 2,01014,BRANDSEN
2014-12-03 00:00:00.000,03968138,BGC458  ,01005,AVELLANEDA NRO. 2,01077,QUILMES NRO. 1
2014-12-03 00:00:00.000,03968128,FXL934  ,01005,AVELLANEDA NRO. 2,01147,LOMAS DE ZAMORA NRO. 3
2014-12-03 00:00:00.000,03968136,EPK003  ,01005,AVELLANEDA NRO. 2,01260,FLORENCIO VARELA NRO. 3
2014-12-03 00:00:00.000,03968129,JPC674  ,01005,AVELLANEDA NRO. 2,02002,CAPITAL FEDERAL NRO. 02
2014-12-03 00:00:00.000,04103385,AOO948  ,01005,AVELLANEDA NRO. 2,02052,CAPITAL FEDERAL NRO. 52
